id,name,type,ra_hours,dec_deg,mag,size_arcmin
NGC4030,NGC4030,Galaxy,12.00656,-1.1001,10.5,3.8
NGC4031,NGC4031,Galaxy,12.00871,31.9476,14.8,0.7
NGC4032,NGC4032,Galaxy,12.00912,20.0739,12.5,1.4
NGC4033,NGC4033,Galaxy,12.00965,-17.8426,11.8,2.6
NGC4034,NGC4034,Galaxy,12.02491,69.3239,14.4,1.4
NGC4035,NGC4035,Galaxy,12.00815,-15.9481,14.5,1.2
NGC4036,NGC4036,Galaxy,12.02410,61.8958,10.8,4.8
NGC4037,NGC4037,Galaxy,12.02324,13.4010,12.9,2.4
NGC4038,Antennae Galaxies,Galaxy,12.03139,-18.8676,10.2,5.4
NGC4039,Antennae Galaxies,Galaxy,12.03153,-18.8862,11.0,5.4
NGC4040,NGC4040,Galaxy,12.03484,17.8232,15.0,1.2
NGC4041,NGC4041,Galaxy,12.03672,62.1372,11.1,2.6
NGC4042,NGC4042,Galaxy,12.04633,20.1632,16.4,0.4
NGC4043,NGC4043,Galaxy,12.03971,4.3298,14.0,0.9
NGC4044,NGC4044,Galaxy,12.04153,-0.2124,14.6,1.1
NGC4045,NGC4045,Galaxy,12.04507,1.9768,11.8,2.5
NGC4045A,NGC4045A,Galaxy,12.04519,1.9522,14.3,0.9
NGC4047,NGC4047,Galaxy,12.04741,48.6362,12.8,1.5
NGC4048,NGC4048,Galaxy,12.04727,18.0156,14.4,0.7
NGC4049,NGC4049,Galaxy,12.04853,18.7525,14.1,1.2
NGC4050,NGC4050,Galaxy,12.04832,-16.3736,11.8,3.4
NGC4051,NGC4051,Galaxy,12.05267,44.5313,11.4,4.9
NGC4052,NGC4052,Open Cluster,12.03477,-63.2235,8.8,5.1
NGC4053,NGC4053,Galaxy,12.05321,19.7288,14.4,1.1
NGC4054,NGC4054,Galaxy Triplet,12.05364,57.8944,,1.0
NGC4055,NGC4055,Galaxy,12.06708,20.2323,13.8,0.9
NGC4056,NGC4056,Galaxy,12.06605,20.3125,16.5,0.6
NGC4057,NGC4057,Galaxy,12.06838,20.2351,12.6,1.3
NGC4058,NGC4058,Galaxy,12.06363,3.5482,13.9,1.4
NGC4060,NGC4060,Galaxy,12.06694,20.3374,15.5,0.6
NGC4062,NGC4062,Galaxy,12.06773,31.8958,11.2,4.1
NGC4063,NGC4063,Galaxy,12.06833,1.8470,14.9,0.9
NGC4064,NGC4064,Galaxy,12.06977,18.4434,11.3,3.2
NGC4066,NGC4066,Galaxy,12.06928,20.3479,14.2,1.2
NGC4067,NGC4067,Galaxy,12.06987,10.8544,13.4,1.1
NGC4068,NGC4068,Galaxy,12.06688,52.5883,12.7,1.9
NGC4069,NGC4069,Galaxy,12.06834,20.3238,16.3,0.5
NGC4070,NGC4070,Galaxy,12.06981,20.4098,14.1,1.2
NGC4071,NGC4071,Planetary Nebula,12.07105,-67.3101,13.0,1.1
NGC4072,NGC4072,Galaxy,12.07051,20.2097,15.5,0.4
NGC4073,NGC4073,Galaxy,12.07419,1.8960,11.5,2.1
NGC4074,NGC4074,Galaxy,12.07491,20.3162,14.4,0.6
NGC4075,NGC4075,Galaxy,12.07718,2.0725,14.5,1.2
NGC4076,NGC4076,Galaxy,12.07570,20.2049,13.4,0.9
NGC4077,NGC4077,Galaxy,12.07724,1.7877,14.1,1.3
NGC4078,NGC4078,Galaxy,12.07990,10.5956,13.8,1.2
NGC4079,NGC4079,Galaxy,12.08051,-2.3824,13.8,1.7
NGC4080,NGC4080,Galaxy,12.08106,26.9925,13.9,1.2
NGC4081,NGC4081,Galaxy,12.07609,64.4368,13.1,1.4
NGC4082,NGC4082,Galaxy,12.08651,10.6706,14.9,0.8
NGC4083,NGC4083,Galaxy,12.08724,10.6132,15.1,0.9
NGC4084,NGC4084,Galaxy,12.08757,21.2144,14.6,1.1
NGC4085,NGC4085,Galaxy,12.08964,50.3529,12.4,2.2
NGC4086,NGC4086,Galaxy,12.09149,20.2468,14.9,1.2
NGC4087,NGC4087,Galaxy,12.09315,-26.5226,13.2,2.0
NGC4088,NGC4088,Galaxy,12.09283,50.5390,10.6,7.0
NGC4089,NGC4089,Galaxy,12.09373,20.5557,14.6,0.9
NGC4090,NGC4090,Galaxy,12.09109,20.3087,14.8,1.1
NGC4091,NGC4091,Galaxy,12.09447,20.5557,15.0,0.9
NGC4092,NGC4092,Galaxy,12.09725,20.4770,13.6,1.0
NGC4093,NGC4093,Galaxy,12.09763,20.5220,15.2,0.8
NGC4094,NGC4094,Galaxy,12.09832,-14.5264,12.0,4.4
NGC4095,NGC4095,Galaxy,12.09839,20.5725,14.3,1.4
NGC4096,NGC4096,Galaxy,12.10031,47.4784,10.6,5.7
NGC4097,NGC4097,Galaxy,12.10070,36.8637,14.4,1.2
NGC4098,NGC4098,Galaxy Pair,12.10108,20.6061,,1.2
NGC4100,NGC4100,Galaxy,12.10235,49.5827,11.1,4.6
NGC4101,NGC4101,Galaxy,12.10294,25.5570,14.5,1.2
NGC4102,NGC4102,Galaxy,12.10639,52.7111,11.9,2.9
NGC4103,NGC4103,Open Cluster,12.11099,-61.2501,7.4,7.8
NGC4104,NGC4104,Galaxy,12.11083,28.1742,12.1,2.5
NGC4105,NGC4105,Galaxy,12.11132,-29.7602,10.6,4.3
NGC4106,NGC4106,Galaxy,12.11244,-29.7683,11.3,4.1
NGC4108,NGC4108,Galaxy,12.11238,67.1631,13.1,1.6
NGC4108A,NGC4108A,Galaxy,12.09713,67.2521,14.6,1.3
NGC4108B,NGC4108B,Galaxy,12.11989,67.2352,14.5,1.3
NGC4109,NGC4109,Galaxy,12.11420,42.9956,15.0,0.7
NGC4110,NGC4110,Galaxy,12.11763,18.5317,14.5,1.3
NGC4111,NGC4111,Galaxy,12.11754,43.0657,10.8,1.8
NGC4112,NGC4112,Galaxy,12.11930,-40.2082,12.7,1.7
NGC4113,NGC4113,Galaxy,12.11902,32.9959,14.8,0.8
NGC4114,NGC4114,Galaxy,12.12008,-14.1855,14.1,2.2
NGC4115,NGC4115,Star,12.11932,14.4066,,
NGC4116,NGC4116,Galaxy,12.12699,2.6905,12.0,2.6
NGC4117,NGC4117,Galaxy,12.12948,43.1264,14.3,1.6
NGC4118,NGC4118,Galaxy,12.13135,43.1111,15.8,0.7
NGC4119,NGC4119,Galaxy,12.13601,10.3789,11.5,1.6
NGC4120,NGC4120,Galaxy,12.14195,69.5448,14.0,1.6
NGC4121,NGC4121,Galaxy,12.13240,65.1139,13.0,0.5
NGC4123,NGC4123,Galaxy,12.13642,2.8783,11.4,3.2
NGC4125,NGC4125,Galaxy,12.13501,65.1741,9.7,5.9
NGC4126,NGC4126,Galaxy,12.14373,16.1428,14.5,0.8
NGC4127,NGC4127,Galaxy,12.14066,76.8040,13.4,1.5
NGC4128,NGC4128,Galaxy,12.14231,68.7676,12.0,2.2
NGC4129,NGC4129,Galaxy,12.14812,-9.0365,12.5,2.6
NGC4131,NGC4131,Galaxy,12.14647,29.3048,13.3,1.4
NGC4132,NGC4132,Galaxy,12.15039,29.2501,14.0,1.1
NGC4133,NGC4133,Galaxy,12.14721,74.9043,13.0,1.7
NGC4134,NGC4134,Galaxy,12.15278,29.1769,13.1,1.9
NGC4135,NGC4135,Galaxy,12.15245,44.0032,14.0,0.8
NGC4136,NGC4136,Galaxy,12.15491,29.9276,11.9,2.3
NGC4137,NGC4137,Galaxy,12.15486,44.0902,14.3,0.8
NGC4138,NGC4138,Galaxy,12.15827,43.6853,11.8,2.9
NGC4139,NGC4139,Galaxy,12.07612,1.8016,14.7,1.2
NGC4141,NGC4141,Galaxy,12.16314,58.8492,14.6,1.2
NGC4142,NGC4142,Galaxy,12.15839,53.1049,13.9,1.8
NGC4143,NGC4143,Galaxy,12.16002,42.5342,12.1,2.7
NGC4144,NGC4144,Galaxy,12.16628,46.4572,11.6,5.2
NGC4145,NGC4145,Galaxy,12.16709,39.8839,11.2,4.6
NGC4146,NGC4146,Galaxy,12.17174,26.4307,13.9,1.3
NGC4147,NGC4147,Globular Cluster,12.16838,18.5421,10.7,2.4
NGC4148,NGC4148,Galaxy,12.16888,35.8776,14.4,1.6
NGC4149,NGC4149,Galaxy,12.17579,58.3041,13.9,1.4
NGC4150,NGC4150,Galaxy,12.17601,30.4015,11.7,2.0
NGC4151,NGC4151,Galaxy,12.17572,39.4057,11.5,2.9
NGC4152,NGC4152,Galaxy,12.17708,16.0329,12.5,1.4
NGC4155,NGC4155,Galaxy,12.17936,19.0408,14.4,1.2
NGC4156,NGC4156,Galaxy,12.18045,39.4727,13.5,1.1
NGC4157,NGC4157,Galaxy,12.18455,50.4847,11.3,6.2
NGC4158,NGC4158,Galaxy,12.18616,20.1757,13.3,1.4
NGC4159,NGC4159,Galaxy,12.18156,76.1259,14.2,1.4
NGC4160,NGC4160,Double Star,12.20048,43.7356,,
NGC4161,NGC4161,Galaxy,12.19263,57.7375,13.7,1.1
NGC4162,NGC4162,Galaxy,12.19791,24.1237,11.7,2.3
NGC4163,NGC4163,Galaxy,12.20254,36.1692,13.2,1.7
NGC4164,NGC4164,Galaxy,12.20152,13.2056,15.4,0.7
NGC4165,NGC4165,Galaxy,12.20328,13.2465,13.6,1.2
NGC4166,NGC4166,Galaxy,12.20266,17.7570,14.2,1.1
NGC4168,NGC4168,Galaxy,12.20480,13.2052,11.4,2.9
NGC4169,NGC4169,Galaxy,12.20522,29.1794,12.2,1.6
NGC4170,NGC4170,Star,12.20368,29.1668,,
NGC4171,NGC4171,Star,12.21066,29.2245,,
NGC4172,NGC4172,Galaxy,12.20414,56.1776,14.3,1.2
NGC4173,NGC4173,Galaxy,12.20596,29.2071,13.3,2.3
NGC4174,NGC4174,Galaxy,12.20747,29.1492,13.6,0.9
NGC4175,NGC4175,Galaxy,12.20862,29.1684,13.4,1.6
NGC4176,NGC4176,Galaxy,12.21023,-9.1605,15.4,0.7
NGC4177,NGC4177,Galaxy,12.21146,-14.0146,13.3,1.8
