id,name,type,ra_hours,dec_deg,mag,size_arcmin
M1,Crab Nebula,Supernova Remnant,5.57555,22.0145,8.4,8.0
M2,M2,Globular Cluster,21.55750,-0.8233,6.2,8.4
M3,M3,Globular Cluster,13.70312,28.3754,6.4,16.2
M4,M4,Globular Cluster,16.39317,-26.5255,5.4,28.2
M5,M5,Globular Cluster,15.30938,2.0827,6.0,15.0
M6,Butterfly Cluster,Open Cluster,17.67243,-32.2542,4.2,15.6
M7,Ptolemy's Cluster,Open Cluster,17.89755,-34.7928,3.3,22.2
M8,Lagoon Nebula,Nebula,18.06146,-24.3802,5.8,45.0
M9,M9,Globular Cluster,17.31994,-18.5162,8.4,6.9
M10,M10,Globular Cluster,16.95250,-4.0993,5.0,9.3
M11,Amas de l'Ecu de Sobieski,Open Cluster,18.85166,-6.2700,5.8,9.0
M12,M12,Globular Cluster,16.78737,-1.9478,6.1,11.1
M13,Hercules Globular Cluster,Globular Cluster,16.69490,36.4613,5.8,16.5
M14,M14,Globular Cluster,17.62671,-3.2459,5.7,9.9
M15,M15,Globular Cluster,21.49955,12.1668,6.3,11.1
M16,Eagle Nebula,Nebula,18.31338,-13.8072,6.0,120.0
M17,Checkmark Nebula,Nebula,18.34642,-16.1715,7.0,12.6
M18,M18,Open Cluster,18.33291,-17.1020,6.9,6.0
M19,M19,Globular Cluster,17.04380,-26.2679,5.6,7.5
M20,Trifid Nebula,Nebula,18.04503,-22.9719,8.5,28.0
M21,M21,Open Cluster,18.07040,-22.4901,5.9,6.0
M22,M22,Globular Cluster,18.60672,-23.9034,6.2,12.6
M23,M23,Open Cluster,17.95133,-18.9853,5.5,16.8
M24,Small Sgr Star Cloud,Star Association,18.28226,-18.5146,4.5,120.0
M25,M25,Open Cluster,18.52966,-19.1149,4.6,14.1
M26,M26,Open Cluster,18.75518,-9.3836,8.9,6.0
M27,Dumbbell Nebula,Planetary Nebula,19.99344,22.7210,7.4,6.7
M28,M28,Globular Cluster,18.40914,-24.8698,6.9,5.1
M29,M29,Open Cluster,20.39938,38.5077,6.6,3.6
M30,M30,Globular Cluster,21.67278,-23.1791,7.1,9.0
M31,Andromeda Galaxy,Galaxy,0.71232,41.2691,3.4,177.8
M32,M32,Galaxy,0.71162,40.8653,8.1,7.7
M33,Triangulum Galaxy,Galaxy,1.56414,30.6602,5.8,62.1
M34,M34,Open Cluster,2.70206,42.7461,5.2,22.5
M35,M35,Open Cluster,6.15141,24.3386,5.1,24.0
M36,M36,Open Cluster,5.60493,34.1407,6.0,7.2
M37,M37,Open Cluster,5.87176,32.5530,5.6,11.4
M38,M38,Open Cluster,5.47847,35.8549,6.4,9.6
M39,M39,Open Cluster,21.53009,48.4382,4.6,19.5
M40,Winnecke 4,Double Star,12.37250,58.0828,9.6,0.8
M41,M41,Open Cluster,6.76665,-20.7542,4.5,12.0
M42,Great Orion Nebula,Cluster + Nebula,5.58791,-5.3897,4.0,90.0
M43,Mairan's Nebula,HII Region,5.59205,-5.2675,9.0,20.0
M44,Beehive,Open Cluster,8.67283,19.6721,3.1,108.6
M45,Pleiades,Open Cluster,3.78333,24.1167,1.6,110.0
M46,M46,Open Cluster,7.69634,-14.8100,6.1,21.0
M47,M47,Open Cluster,7.60973,-14.4826,4.4,19.8
M48,M48,Open Cluster,8.22866,-5.7504,5.8,28.2
M49,M49,Galaxy,12.49632,8.0005,8.3,10.2
M50,M50,Open Cluster,7.04458,-8.3640,5.9,14.1
M51,Whirlpool Galaxy,Galaxy,13.49797,47.1952,8.4,13.7
M52,M52,Open Cluster,23.41344,61.5932,6.9,9.9
M53,M53,Globular Cluster,13.21534,18.1691,7.8,9.0
M54,M54,Globular Cluster,18.91758,-30.4785,7.7,5.1
M55,M55,Globular Cluster,19.66650,-30.9621,6.5,12.0
M56,M56,Globular Cluster,19.27653,30.1845,8.4,5.8
M57,Ring Nebula,Planetary Nebula,18.89306,33.0286,8.8,1.3
M58,M58,Galaxy,12.62876,11.8182,10.3,5.0
M59,M59,Galaxy,12.70062,11.6470,9.6,4.5
M60,M60,Galaxy,12.72777,11.5527,8.8,6.8
M61,M61,Galaxy,12.36525,4.4736,10.2,6.9
M62,M62,Globular Cluster,17.02017,-30.1124,7.4,7.8
M63,Sunflower Galaxy,Galaxy,13.26370,42.0293,8.6,11.8
M64,Black Eye Galaxy,Galaxy,12.94546,21.6830,8.5,10.5
M65,M65,Galaxy,11.31553,13.0924,9.3,7.6
M66,M66,Galaxy,11.33749,12.9915,8.9,10.3
M67,M67,Open Cluster,8.85559,11.8119,6.9,33.0
M68,M68,Globular Cluster,12.65778,-26.7430,8.0,6.6
M69,M69,Globular Cluster,18.52312,-32.3480,8.3,5.7
M70,M70,Globular Cluster,18.72018,-32.2919,9.1,6.6
M71,M71,Globular Cluster,19.89614,18.7784,6.1,6.9
M72,M72,Globular Cluster,20.89109,-12.5371,9.0,4.5
M73,M73,Other,20.98221,-12.6355,8.9,
M74,M74,Galaxy,1.61160,15.7837,9.3,9.9
M75,M75,Globular Cluster,20.10134,-21.9222,8.3,3.6
M76,Barbell Nebula,Planetary Nebula,1.70547,51.5755,10.1,1.1
M77,M77,Galaxy,2.71131,-0.0133,9.3,6.1
M78,M78,Reflection Nebula,5.77939,0.0793,8.0,4.5
M79,M79,Globular Cluster,5.40294,-24.5242,8.2,7.2
M80,M80,Globular Cluster,16.28403,-22.9751,7.3,5.7
M81,Bode's Galaxy,Galaxy,9.92588,69.0653,6.9,21.6
M82,Cigar Galaxy,Galaxy,9.93131,69.6794,8.3,11.0
M83,Southern Pinwheel Galaxy,Galaxy,13.61693,-29.8654,7.2,13.6
M84,M84,Galaxy,12.41771,12.8870,9.8,7.4
M85,M85,Galaxy,12.42336,18.1915,9.1,7.0
M86,M86,Galaxy,12.43659,12.9462,8.9,11.5
M87,Virgo Galaxy,Galaxy,12.51373,12.3911,9.0,7.1
M88,M88,Galaxy,12.53310,14.4204,10.3,8.7
M89,M89,Galaxy,12.59439,12.5563,10.1,8.1
M90,M90,Galaxy,12.61383,13.1629,9.5,9.1
M91,M91,Galaxy,12.59068,14.4963,11.0,5.5
M92,M92,Globular Cluster,17.28535,43.1365,6.5,14.4
M93,M93,Open Cluster,7.74145,-23.8531,6.2,15.0
M94,M94,Galaxy,12.84807,41.1204,8.2,7.7
M95,M95,Galaxy,10.73269,11.7038,9.8,7.2
M96,M96,Galaxy,10.77937,11.8199,9.2,8.3
M97,Owl Nebula,Planetary Nebula,11.24659,55.0190,9.9,3.6
M98,M98,Galaxy,12.23008,14.9003,10.8,11.0
M99,Coma Pinwheel,Galaxy,12.31378,14.4165,9.8,5.0
M100,M100,Galaxy,12.38190,15.8218,9.5,6.1
M101,M101,Galaxy,14.05348,54.3489,7.9,24.0
M102,Spindle Galaxy,Galaxy,15.10822,55.7633,9.9,6.5
M103,M103,Open Cluster,1.55606,60.6580,7.4,4.5
M104,Sombrero Galaxy,Galaxy,12.66651,-11.6231,8.6,8.4
M105,M105,Galaxy,10.79711,12.5816,9.3,4.9
M106,M106,Galaxy,12.31597,47.3040,9.3,17.0
M107,M107,Globular Cluster,16.54220,-13.0536,8.8,7.8
M108,M108,Galaxy,11.19194,55.6741,10.1,4.0
M109,M109,Galaxy,11.95999,53.3745,9.9,8.1
M110,M110,Galaxy,0.67280,41.6853,8.2,16.2
NGC1,NGC1,Galaxy,0.12107,27.7081,12.9,1.6
NGC2,NGC2,Galaxy,0.12142,27.6784,14.2,0.9
NGC3,NGC3,Galaxy,0.12133,8.3016,13.4,1.0
NGC4,NGC4,Galaxy,0.12345,8.3738,16.4,0.5
NGC5,NGC5,Galaxy,0.13024,35.3623,14.6,1.0
NGC6,NGC6,Galaxy,0.15908,33.3087,14.4,1.7
NGC7,NGC7,Galaxy,0.13916,-29.9150,13.8,2.5
NGC8,NGC8,Double Star,0.14592,23.8389,15.3,
NGC9,NGC9,Galaxy,0.14853,23.8170,14.6,0.7
NGC10,NGC10,Galaxy,0.14293,-33.8583,12.5,2.4
NGC11,NGC11,Galaxy,0.14514,37.4479,14.4,1.4
NGC12,NGC12,Galaxy,0.14576,4.6125,13.2,1.5
NGC13,NGC13,Galaxy,0.14659,33.4333,14.1,2.3
NGC14,NGC14,Galaxy,0.14622,15.8156,12.4,1.5
NGC15,NGC15,Galaxy,0.15069,21.6245,15.1,1.1
NGC16,NGC16,Galaxy,0.15119,27.7294,12.0,1.7
NGC17,NGC17,Galaxy,0.18515,-12.1073,13.5,1.1
NGC18,NGC18,Double Star,0.15642,27.7321,14.0,
NGC19,NGC19,Galaxy,0.17802,32.9831,13.8,1.2
NGC21,NGC21,Galaxy,0.17969,33.3528,13.4,1.4
NGC22,NGC22,Galaxy,0.16339,27.8323,14.8,1.2
NGC23,NGC23,Galaxy,0.16484,25.9238,12.0,1.6
NGC24,NGC24,Galaxy,0.16571,-24.9631,11.5,6.2
NGC25,NGC25,Galaxy,0.16647,-57.0208,15.5,1.4
NGC26,NGC26,Galaxy,0.17385,25.8318,13.8,1.1
NGC27,NGC27,Galaxy,0.17577,28.9962,14.4,1.2
NGC28,NGC28,Galaxy,0.17368,-56.9891,15.8,0.9
NGC30,NGC30,Double Star,0.18077,21.9770,,
NGC31,NGC31,Galaxy,0.17733,-56.9865,14.6,1.2
NGC32,NGC32,Star,0.18155,18.7960,,
NGC33,NGC33,Double Star,0.18240,3.6759,,
NGC35,NGC35,Galaxy,0.18624,-12.0209,14.9,0.8
NGC36,NGC36,Galaxy,0.18953,6.3894,14.4,2.1
NGC37,NGC37,Galaxy,0.18970,-56.9573,14.9,1.1
NGC38,NGC38,Galaxy,0.19639,-5.5863,14.3,1.1
NGC39,NGC39,Galaxy,0.20524,31.0611,14.3,1.1
NGC40,Bow-Tie nebula,Planetary Nebula,0.21695,72.5219,11.9,0.8
NGC41,NGC41,Galaxy,0.21333,22.0234,14.5,0.9
NGC42,NGC42,Galaxy,0.21565,22.1003,15.1,0.9
NGC43,NGC43,Galaxy,0.21688,30.9153,13.9,1.4
NGC44,NGC44,Double Star,0.22039,31.2863,,
NGC45,NGC45,Galaxy,0.23444,-23.1821,10.4,6.2
NGC46,NGC46,Star,0.23607,5.9877,11.7,
NGC47,NGC47,Galaxy,0.24184,-7.1674,13.5,1.4
NGC48,NGC48,Galaxy,0.23394,48.2349,14.9,1.3
NGC49,NGC49,Galaxy,0.23956,48.2466,15.2,0.9
NGC50,NGC50,Galaxy,0.24571,-7.3451,12.8,2.0
NGC51,NGC51,Galaxy,0.24303,48.2557,14.4,1.4
NGC52,NGC52,Galaxy,0.24447,18.5820,14.3,2.3
NGC53,NGC53,Galaxy,0.24524,-60.3288,12.6,1.5
NGC54,NGC54,Galaxy,0.25213,-7.1067,14.3,1.4
NGC55,NGC55,Galaxy,0.24822,-39.1966,8.5,29.9
NGC56,NGC56,Other,0.25574,12.4445,,
NGC57,NGC57,Galaxy,0.25857,17.3285,11.7,2.1
NGC59,NGC59,Galaxy,0.25698,-21.4444,12.4,2.4
NGC60,NGC60,Galaxy,0.26618,-0.3035,14.9,1.0
NGC61,NGC61,Galaxy Pair,0.27339,-6.3194,,1.5
NGC61A,NGC61A,Galaxy,0.27343,-6.3219,14.1,1.5
NGC61B,NGC61B,Galaxy,0.27335,-6.3189,14.0,1.3
NGC62,NGC62,Galaxy,0.28484,-13.4871,14.3,1.0
NGC63,NGC63,Galaxy,0.29598,11.4503,12.5,1.7
NGC64,NGC64,Galaxy,0.29177,-6.8246,14.1,1.4
NGC65,NGC65,Galaxy,0.31631,-22.8804,14.7,1.0
NGC66,NGC66,Galaxy,0.31804,-22.9364,14.1,1.2
NGC67,NGC67,Galaxy,0.30339,30.0555,16.5,0.5
NGC68,NGC68,Galaxy,0.30514,30.0718,14.4,1.3
NGC69,NGC69,Galaxy,0.30570,30.0400,14.7,0.6
NGC70,NGC70,Galaxy,0.30626,30.0796,14.5,1.7
NGC71,NGC71,Galaxy,0.30655,30.0633,14.1,1.9
NGC72,NGC72,Galaxy,0.30788,30.0407,13.6,1.2
NGC72A,NGC72A,Galaxy,0.30953,30.0364,14.6,0.4
NGC73,NGC73,Galaxy,0.31084,-15.3223,14.4,1.7
NGC74,NGC74,Galaxy,0.31371,30.0620,15.6,0.8
NGC75,NGC75,Galaxy,0.32398,6.4494,14.6,1.8
NGC76,NGC76,Galaxy,0.32716,29.9339,14.1,1.3
NGC77,NGC77,Galaxy,0.33379,-22.5321,15.9,0.5
NGC78,NGC78,Galaxy Pair,0.34072,0.8297,,1.9
NGC78A,NGC78A,Galaxy,0.34050,0.8263,13.7,1.2
NGC78B,NGC78B,Galaxy,0.34097,0.8336,13.5,1.0
NGC79,NGC79,Galaxy,0.35079,22.5666,15.2,0.8
NGC80,NGC80,Galaxy,0.35301,22.3572,12.3,1.8
NGC81,NGC81,Galaxy,0.35369,22.3829,16.4,0.4
NGC82,NGC82,Star,0.35487,22.4604,,
NGC83,NGC83,Galaxy,0.35622,22.4336,12.6,1.2
NGC84,NGC84,Star,0.35590,22.6197,,
NGC85,NGC85,Galaxy,0.35709,22.5118,15.8,0.7
NGC85B,NGC85B,Galaxy,0.35806,22.5058,15.5,1.1
NGC86,NGC86,Galaxy,0.35794,22.5564,14.8,0.8
NGC87,NGC87,Galaxy,0.35396,-48.6282,14.3,0.9
NGC88,NGC88,Galaxy,0.35614,-48.6402,14.4,0.8
NGC89,NGC89,Galaxy,0.35677,-48.6653,13.5,1.2
NGC90,NGC90,Galaxy,0.36428,22.4000,13.8,1.0
NGC91,NGC91,Star,0.36437,22.3684,15.2,
NGC92,NGC92,Galaxy,0.35881,-48.6247,13.2,1.6
NGC93,NGC93,Galaxy,0.36756,22.4081,13.3,1.3
NGC94,NGC94,Galaxy,0.37042,22.4831,15.4,0.5
NGC95,NGC95,Galaxy,0.37043,10.4916,12.6,1.5
NGC96,NGC96,Galaxy,0.37159,22.5463,15.5,0.7
NGC97,NGC97,Galaxy,0.37500,29.7454,13.4,1.3
NGC98,NGC98,Galaxy,0.38043,-45.2690,12.7,1.6
NGC99,NGC99,Galaxy,0.39983,15.7704,13.8,1.1
NGC100,NGC100,Galaxy,0.40079,16.4864,13.2,3.5
NGC101,NGC101,Galaxy,0.39850,-32.5362,12.8,1.9
NGC102,NGC102,Galaxy,0.41015,-13.9564,14.4,0.9
NGC103,NGC103,Open Cluster,0.42122,61.3235,9.8,2.7
NGC104,47 Tuc Cluster,Globular Cluster,0.40149,-72.0814,4.1,31.8
NGC105,NGC105,Galaxy,0.42133,12.8839,13.2,0.8
NGC106,NGC106,Galaxy,0.41215,-5.1488,14.5,0.9
NGC107,NGC107,Galaxy,0.42839,-8.2828,15.0,0.8
NGC108,NGC108,Galaxy,0.43326,29.2121,13.3,1.7
NGC109,NGC109,Galaxy,0.43740,21.8073,13.7,1.1
NGC110,NGC110,Open Cluster,0.45695,71.3915,,3.9
NGC111,NGC111,Other,0.44400,-2.6250,,
NGC112,NGC112,Galaxy,0.44687,31.7033,14.4,1.0
NGC113,NGC113,Galaxy,0.44851,-2.5009,14.0,1.2
NGC114,NGC114,Galaxy,0.44951,-1.7862,14.7,1.0
NGC115,NGC115,Galaxy,0.44619,-33.6771,13.7,2.1
NGC116,NGC116,Galaxy,0.45145,-7.6683,14.7,1.1
NGC117,NGC117,Galaxy,0.45308,1.3337,15.4,1.0
NGC118,NGC118,Galaxy,0.45451,-1.7801,14.8,0.8
NGC119,NGC119,Galaxy,0.44934,-56.9781,15.7,1.2
NGC120,NGC120,Galaxy,0.45836,-1.5135,14.6,1.5
NGC121,NGC121,Globular Cluster,0.44674,-71.5357,11.2,3.8
NGC122,NGC122,Star,0.46065,-1.6405,,
NGC123,NGC123,Star,0.46111,-1.6276,,
NGC124,NGC124,Galaxy,0.46454,-1.8102,13.7,1.3
NGC125,NGC125,Galaxy,0.48061,2.8389,12.3,1.4
NGC126,NGC126,Galaxy,0.48558,2.8111,15.5,0.7
NGC127,NGC127,Galaxy,0.48677,2.8727,15.3,0.9
NGC128,NGC128,Galaxy,0.48752,2.8641,11.6,3.2
NGC129,NGC129,Open Cluster,0.49950,60.2112,6.5,5.4
NGC130,NGC130,Galaxy,0.48849,2.8704,14.8,0.7
NGC131,NGC131,Galaxy,0.49403,-33.2597,13.2,1.8
NGC132,NGC132,Galaxy,0.50297,2.0934,13.7,1.6
NGC133,NGC133,Open Cluster,0.52138,63.3526,9.4,2.1
NGC134,NGC134,Galaxy,0.50610,-33.2440,10.3,8.4
NGC135,NGC135,Galaxy,0.52943,-13.3375,15.0,0.7
NGC136,NGC136,Open Cluster,0.52522,61.5093,,3.3
NGC137,NGC137,Galaxy,0.51614,10.2084,12.8,1.4
NGC138,NGC138,Galaxy,0.51646,5.1598,14.7,1.2
NGC139,NGC139,Galaxy,0.51844,5.0787,15.4,0.8
NGC140,NGC140,Galaxy,0.52235,30.7925,14.2,0.9
NGC141,NGC141,Galaxy,0.52151,5.1798,15.3,0.9
NGC142,NGC142,Galaxy,0.51891,-22.6187,14.6,1.0
NGC143,NGC143,Galaxy,0.52101,-22.5599,15.3,1.1
NGC144,NGC144,Galaxy,0.52241,-22.6457,14.4,0.8
NGC145,NGC145,Galaxy,0.52937,-5.1526,12.8,1.8
NGC146,NGC146,Open Cluster,0.55109,63.3090,9.1,3.6
NGC147,NGC147,Galaxy,0.55337,48.5087,9.7,9.4
NGC148,NGC148,Galaxy,0.57097,-31.7860,12.2,2.0
NGC149,NGC149,Galaxy,0.56396,30.7234,15.0,0.9
NGC150,NGC150,Galaxy,0.57097,-27.8036,11.4,3.5
NGC151,NGC151,Galaxy,0.56744,-9.7053,11.7,3.7
NGC152,NGC152,Open Cluster,0.54791,-73.1204,12.3,3.0
NGC154,NGC154,Galaxy,0.57208,-12.6563,15.2,1.0
NGC155,NGC155,Galaxy,0.57780,-10.7665,14.2,1.5
NGC156,NGC156,Double Star,0.57662,-8.3401,,
NGC157,NGC157,Galaxy,0.57966,-8.3964,13.1,3.7
NGC158,NGC158,Double Star,0.58489,-8.3457,,
NGC159,NGC159,Galaxy,0.57654,-55.7900,14.9,1.4
NGC160,NGC160,Galaxy,0.60113,23.9579,12.7,2.0
NGC161,NGC161,Galaxy,0.59276,-2.8487,14.4,1.4
NGC162,NGC162,Star,0.60257,23.9624,,
NGC163,NGC163,Galaxy,0.59995,-10.1217,12.7,1.4
NGC164,NGC164,Galaxy,0.60914,2.7498,15.9,0.5
NGC165,NGC165,Galaxy,0.60803,-10.1062,13.2,1.6
NGC166,NGC166,Galaxy,0.59688,-13.6106,15.2,0.9
NGC167,NGC167,Galaxy,0.58975,-23.3750,14.3,1.0
NGC168,NGC168,Galaxy,0.61074,-22.5935,14.9,1.3
NGC169,NGC169,Galaxy,0.61433,23.9909,13.1,1.5
NGC169A,NGC169A,Galaxy,0.61454,23.9850,13.7,0.8
NGC170,NGC170,Galaxy,0.61273,1.8865,15.4,0.7
NGC171,NGC171,Galaxy,0.62265,-19.9342,12.2,2.1
NGC172,NGC172,Galaxy,0.62045,-22.5870,13.5,2.0
NGC173,NGC173,Galaxy,0.62013,1.9423,13.4,2.1
NGC174,NGC174,Galaxy,0.61637,-29.4778,13.8,1.6
NGC176,NGC176,Open Cluster,0.59941,-73.1664,13.0,1.2
NGC177,NGC177,Galaxy,0.62621,-22.5493,14.2,2.1
NGC178,NGC178,Galaxy,0.65233,-14.1728,12.6,2.1
NGC179,NGC179,Galaxy,0.62952,-17.8495,13.2,1.1
NGC180,NGC180,Galaxy,0.63269,8.6352,14.2,2.2
NGC181,NGC181,Galaxy,0.63978,29.4726,15.5,0.9
NGC182,NGC182,Galaxy,0.63677,2.7286,12.6,1.9
NGC183,NGC183,Galaxy,0.64150,29.5112,12.7,1.0
NGC184,NGC184,Galaxy,0.64327,29.4476,15.5,0.7
NGC185,NGC185,Galaxy,0.64944,48.3374,9.2,12.9
NGC186,NGC186,Galaxy,0.64036,3.1664,14.7,1.4
NGC187,NGC187,Galaxy,0.65845,-14.6563,14.0,1.5
NGC188,NGC188,Open Cluster,0.79098,85.2696,8.1,17.7
NGC189,NGC189,Open Cluster,0.65992,61.0945,8.8,2.7
NGC190,NGC190,Galaxy Pair,0.64853,7.0597,,1.1
NGC191,NGC191,Galaxy,0.64984,-9.0026,13.8,1.0
NGC191A,NGC191A,Galaxy,0.65007,-9.0146,14.6,0.9
NGC192,NGC192,Galaxy,0.65373,0.8643,12.6,2.1
NGC193,NGC193,Galaxy,0.65516,3.3311,12.3,2.1
NGC194,NGC194,Galaxy,0.65512,3.0374,12.1,1.7
NGC195,NGC195,Galaxy,0.65994,-9.1945,13.4,1.2
NGC196,NGC196,Galaxy,0.65496,0.9128,13.5,1.3
NGC197,NGC197,Galaxy,0.65522,0.8919,13.5,0.9
NGC198,NGC198,Galaxy,0.65638,2.7979,13.1,1.3
NGC199,NGC199,Galaxy,0.65921,3.1385,14.6,1.1
NGC200,NGC200,Galaxy,0.65969,2.8874,12.7,1.8
NGC201,NGC201,Galaxy,0.65967,0.8599,13.0,1.7
NGC202,NGC202,Galaxy,0.66107,3.5363,15.4,1.0
NGC203,NGC203,Galaxy,0.66098,3.4429,14.9,1.0
NGC204,NGC204,Galaxy,0.66230,3.2996,13.0,1.4
NGC206,NGC206,Star Association,0.67536,40.7393,,
NGC207,NGC207,Galaxy,0.66131,-14.2371,14.7,0.9
NGC208,NGC208,Galaxy,0.67155,2.7565,15.4,0.8
NGC209,NGC209,Galaxy,0.65100,-18.6083,14.1,1.1
NGC210,NGC210,Galaxy,0.67639,-13.8728,11.1,5.0
NGC212,NGC212,Galaxy,0.67037,-56.1530,15.4,1.9
NGC213,NGC213,Galaxy,0.68611,16.4694,14.7,1.4
NGC214,NGC214,Galaxy,0.69112,25.4994,12.2,1.9
NGC215,NGC215,Galaxy,0.68024,-56.2141,14.1,1.1
NGC216,NGC216,Galaxy,0.69088,-21.0454,13.2,1.4
NGC217,NGC217,Galaxy,0.69275,-10.0214,12.1,3.2
NGC218,NGC218,Galaxy,0.77555,36.3256,13.5,1.3
NGC219,NGC219,Galaxy,0.70314,0.9046,15.2,0.6
NGC220,NGC220,Open Cluster,0.67497,-73.4040,14.4,1.2
NGC222,NGC222,Open Cluster,0.67881,-73.3857,12.6,1.2
NGC223,NGC223,Galaxy,0.70441,0.8455,14.3,1.2
NGC225,NGC225,Open Cluster,0.72677,61.7669,7.0,4.2
NGC226,NGC226,Galaxy,0.71501,32.5810,14.4,0.8
NGC227,NGC227,Galaxy,0.71023,-1.5288,12.2,1.9
NGC228,NGC228,Galaxy,0.71514,23.5031,14.8,0.9
NGC229,NGC229,Galaxy,0.71796,23.5091,14.6,1.1
NGC230,NGC230,Galaxy,0.70755,-23.6288,15.6,1.3
NGC231,NGC231,Open Cluster,0.68512,-73.3524,12.9,1.8
NGC232,NGC232,Galaxy,0.71273,-23.5614,14.5,1.0
NGC233,NGC233,Galaxy,0.72682,30.5870,13.8,1.2
NGC234,NGC234,Galaxy,0.72566,14.3426,13.4,1.6
NGC235,NGC235,Galaxy Pair,0.71478,-23.5433,,2.0
NGC235A,NGC235A,Galaxy,0.71467,-23.5410,13.6,1.4
NGC235B,NGC235B,Galaxy,0.71489,-23.5456,14.0,1.3
NGC236,NGC236,Galaxy,0.72432,2.9582,14.4,1.1
NGC237,NGC237,Galaxy,0.72440,-0.1249,13.6,1.3
NGC238,NGC238,Galaxy,0.72382,-50.1828,12.5,2.0
NGC239,NGC239,Galaxy,0.74375,-3.7593,14.3,0.9
NGC240,NGC240,Galaxy,0.75054,6.1134,14.7,1.4
NGC241,NGC241,Open Cluster,0.72542,-73.4405,,0.9
NGC242,NGC242,Open Cluster,0.72605,-73.4463,12.1,0.8
NGC243,NGC243,Galaxy,0.76691,29.9595,14.5,0.9
NGC244,NGC244,Galaxy,0.76290,-15.5969,13.8,1.0
NGC245,NGC245,Galaxy,0.76816,-1.7234,12.3,1.2
NGC246,NGC246,Planetary Nebula,0.78427,-11.8719,10.9,4.1
NGC247,NGC247,Galaxy,0.78571,-20.7604,9.2,19.7
NGC247A,NGC247A,Galaxy,0.79115,-20.3976,17.2,0.5
NGC247B,NGC247B,Galaxy,0.79310,-20.4287,14.4,1.1
NGC247C,NGC247C,Galaxy Pair,0.79381,-20.4528,16.4,0.6
NGC247D,NGC247D,Galaxy,0.79361,-20.4860,15.7,0.6
NGC248,NGC248,Cluster + Nebula,0.75668,-73.3798,,1.4
NGC249,NGC249,HII Region,0.75913,-73.0801,13.8,1.1
NGC250,NGC250,Galaxy,0.78778,7.9100,14.8,1.3
NGC251,NGC251,Galaxy,0.79834,19.5968,12.6,1.7
NGC252,NGC252,Galaxy,0.80042,27.6236,12.5,1.6
NGC253,Sculptor Filament,Galaxy,0.79253,-25.2882,11.1,26.8
NGC254,NGC254,Galaxy,0.79100,-31.4218,11.7,2.8
NGC255,NGC255,Galaxy,0.79648,-11.4687,11.9,2.0
NGC256,NGC256,Open Cluster,0.76481,-73.5068,12.5,0.9
NGC257,NGC257,Galaxy,0.80042,8.2971,12.6,1.8
NGC258,NGC258,Galaxy,0.80355,27.6572,15.2,0.5
NGC259,NGC259,Galaxy,0.80091,-2.7753,13.7,2.9
NGC260,NGC260,Galaxy,0.80963,27.6924,14.3,0.8
NGC261,NGC261,Nebula,0.77442,-73.1036,13.0,1.3
NGC262,NGC262,Galaxy,0.81309,31.9570,14.4,1.2
NGC263,NGC263,Galaxy,0.81346,-13.1074,15.1,0.8
NGC264,NGC264,Galaxy,0.80582,-38.2344,14.5,1.3
NGC265,NGC265,Open Cluster,0.78616,-73.4772,12.2,1.2
NGC266,NGC266,Galaxy,0.82994,32.2777,11.8,2.9
NGC267,NGC267,Open Cluster,0.80081,-73.2740,,2.0
NGC268,NGC268,Galaxy,0.83599,-5.1937,13.0,1.4
NGC269,NGC269,Open Cluster,0.80612,-73.5315,12.6,1.2
NGC270,NGC270,Galaxy,0.84237,-8.6516,13.8,1.8
NGC271,NGC271,Galaxy,0.84496,-1.9103,13.2,2.4
NGC272,NGC272,Open Cluster,0.85699,35.8218,,
NGC273,NGC273,Galaxy,0.84679,-6.8857,12.9,2.0
NGC274,NGC274,Galaxy,0.85052,-7.0569,13.4,1.3
NGC275,NGC275,Galaxy,0.85117,-7.0667,12.4,1.8
NGC276,NGC276,Galaxy,0.86849,-22.6801,15.8,1.1
NGC277,NGC277,Galaxy,0.85479,-8.5968,14.4,1.3
NGC278,NGC278,Galaxy,0.86786,47.5505,10.8,2.4
NGC279,NGC279,Galaxy,0.86915,-2.2184,14.0,1.4
NGC280,NGC280,Galaxy,0.87507,24.3506,14.6,1.0
NGC281,NGC281,HII Region,0.88315,56.6219,,35.0
NGC282,NGC282,Galaxy,0.87838,30.6391,14.6,1.2
NGC283,NGC283,Galaxy,0.88700,-13.1639,15.4,1.1
NGC284,NGC284,Galaxy,0.89007,-13.1589,15.9,0.6
NGC285,NGC285,Galaxy,0.89164,-13.1607,16.1,0.8
NGC286,NGC286,Galaxy,0.89177,-13.1128,15.3,0.9
NGC287,NGC287,Galaxy,0.89119,32.4823,14.7,0.8
NGC288,NGC288,Globular Cluster,0.87985,-26.5899,8.1,9.6
NGC289,NGC289,Galaxy,0.87843,-31.2058,11.2,3.4
NGC290,NGC290,Open Cluster,0.85394,-73.1615,11.7,1.1
NGC291,NGC291,Galaxy,0.89164,-8.7678,14.6,1.0
NGC292,Small Magellanic Cloud,Galaxy,0.87911,-72.8286,2.3,299.9
NGC293,NGC293,Galaxy,0.90443,-7.2355,15.1,1.1
NGC294,NGC294,Open Cluster,0.88464,-73.3804,12.2,1.7
NGC295,NGC295,Galaxy,0.99230,31.7981,15.0,0.6
NGC296,NGC296,Galaxy,0.91875,31.5423,12.3,2.2
